Repository URL,Linked Databases,"description
(yes/no)","keywords
(yes/no)","readme
(yes/no)","codeofconduct
(yes/no)","license
(type)","purpose
(why?)",notes
https://github.com/shaefner-usgs/fieldnotes-admin,[USGS Earthquake Hazards Program],,,,,,,
https://github.com/shenshanlaoyuan/PythonTraining,[Datatang],,,,,,,
https://github.com/slab-itu/HTSS,"[Remote Sensing Systems,The Paleobiology Database,Ag Data Commons,Tropical Rainfall Measuring Mission,Humanitarian Data Exchange,PANGAEA]",,,,,,,
https://github.com/sld666666/blog,[Datatang],,,,,,,
https://github.com/sniperkit/snk.dev-assistant,"[The National Map,GIS Data Depot]",,,,,,,
https://github.com/soleera/r-overlay,"[The Paleobiology Database,ITIS]",,,,,,,
https://github.com/StanfordGeospatialCenter/Hackathon_DataSources,"[Humanitarian Data Exchange,Northern California Earthquake Data Center]",,,,,,,
https://github.com/stevage/nm-static,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/stevenvelozo/quantifier,[Climate Data Online],,,,,,,
https://github.com/sun-jiao/Osmunda,[OpenStreetMap],,,,,,,
https://github.com/superturbooffenaffen/opensaml3,[EDINA],,,,,,,
https://github.com/svitkin/personal-blog,[NASA Image and Video Library],,,,,,,
https://github.com/tdwg/website,"[The Paleobiology Database,Open Context]",,,,,,,
https://github.com/TerriaJS/abc-news-stories,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/TerriaJS/GreaterSydneyExplorer,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/TerriaJS/InvestorMap,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/TerriaJS/nationalmap,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/TerriaJS/TerriaMap,"[The National Map,Data.gov.au,Geoscience Australia]",,,,,,,
https://github.com/thomai-sta/search_engines_and_information_retrieval,"[British Geological Survey,Geoscience Australia]",,,,,,,
https://github.com/thunderspark-9/nlp_dataset,"[USGS Earthquake Hazards Program,Humanitarian Data Exchange,EM-DAT]",,,,,,,
https://github.com/tlevine/ckan-datasets,"[WATCH,Data.gov.au,British Geological Survey,EDINA,GOVDATA]",,,,,,,
https://github.com/tomaszpg/PogodaTMC,"[Comprehensive Large Array-data Stewardship System,GeoGratis]",,,,,,,
https://github.com/Tomella/elvis-water,[Geoscience Australia],,,,,,,
https://github.com/triplingual/Thesis,[Humanitarian Data Exchange],,,,,,,
https://github.com/tvogels/boilerplate,[EDINA],,,,,,,
https://github.com/undo-ransomware/victim-files,"[ITIS,GEON]",,,,,,,
https://github.com/usgs-bcb/wlci-species,[ITIS],,,,,,,
https://github.com/UW-Hydro/hydroshare-pangeo-notebooks,[HydroShare],,,,,,,
https://github.com/victoralexander132/Raman_Processing,[RRUFF Project],,,,,,,
https://github.com/VipWangQiaoqiao/SeaDAS,"[OceanColor web,Moderate Resolution Imaging Spectroradiometer]",,,,,,,
https://github.com/watsona4/dot_julia,"[NCEI,USGS Earthquake Hazards Program,British Geological Survey,Climate Data Online]",,,,,,,
https://github.com/wfdd/public-open-data-portals,[European Union Open Data Portal],,,,,,,
https://github.com/whu-pzhang/pzhangnotes.info.posts,"[Northern California Earthquake Data Center,Incorporated Research Institutions for Seismology]",,,,,,,
https://github.com/wileybenet/d3,[EM-DAT],,,,,,,
https://github.com/WSULib/rds,[EDINA],,,,,,,
https://github.com/YeeitsAlex/IR-SearchEngine-Project,"[NCEI,National Center for Atmospheric Research,HydroShare,Polar Rock Repository,PDS]",,,,,,,
https://github.com/ywang37/compare_SO2_NO2_model_satellite,[EMEP],,,,,,,
https://github.com/zach3141/fire_prediction,[Moderate Resolution Imaging Spectroradiometer],,,,,,,
https://github.com/zdvi/EnvironmentalData,[Humanitarian Data Exchange],,,,,,,
https://github.com/zfleckhawk/zfleckhawk.github.io,[PDS],,,,,,,
